lrs, num_n
Iter:   0, Energy:    6.62929, Int:    6.13601, Ext:   -0.49329, Eval loss:    5.55164, Loss_change:  6.62929
Iter:   1, Energy:  -13.34912, Int:  -13.80838, Ext:   -0.45927, Eval loss:  -20.01396, Loss_change: 19.97841
Iter:   2, Energy:  -22.96615, Int:  -23.40722, Ext:   -0.44107, Eval loss:  -32.50581, Loss_change:  9.61703
Iter:   3, Energy:  -27.93517, Int:  -28.36630, Ext:   -0.43113, Eval loss:  -38.92797, Loss_change:  4.96902
Iter:   4, Energy:  -30.66349, Int:  -31.09007, Ext:   -0.42658, Eval loss:  -42.48966, Loss_change:  2.72832
Iter:   5, Energy:  -32.37312, Int:  -32.79849, Ext:   -0.42536, Eval loss:  -44.75098, Loss_change:  1.70963
Iter:   6, Energy:  -33.45942, Int:  -33.88542, Ext:   -0.42600, Eval loss:  -46.20218, Loss_change:  1.08629
Iter:   7, Energy:  -34.10322, Int:  -34.53003, Ext:   -0.42680, Eval loss:  -47.07157, Loss_change:  0.64381
Iter:   8, Energy:  -34.48499, Int:  -34.91242, Ext:   -0.42743, Eval loss:  -47.59509, Loss_change:  0.38177
Iter:   9, Energy:  -34.72037, Int:  -35.14827, Ext:   -0.42790, Eval loss:  -47.92418, Loss_change:  0.23537
Iter:  10, Energy:  -34.86995, Int:  -35.29824, Ext:   -0.42829, Eval loss:  -48.13871, Loss_change:  0.14958
Iter:  11, Energy:  -34.97258, Int:  -35.40118, Ext:   -0.42860, Eval loss:  -48.28975, Loss_change:  0.10263
Iter:  12, Energy:  -35.04932, Int:  -35.47822, Ext:   -0.42890, Eval loss:  -48.40573, Loss_change:  0.07674
Iter:  13, Energy:  -35.11408, Int:  -35.54325, Ext:   -0.42918, Eval loss:  -48.50546, Loss_change:  0.06476
Iter:  14, Energy:  -35.17839, Int:  -35.60786, Ext:   -0.42947, Eval loss:  -48.60545, Loss_change:  0.06431
Iter:  15, Energy:  -35.26046, Int:  -35.69030, Ext:   -0.42984, Eval loss:  -48.73396, Loss_change:  0.08207
Iter:  16, Energy:  -35.52166, Int:  -35.95275, Ext:   -0.43109, Eval loss:  -49.15698, Loss_change:  0.26120
Iter:  17, Energy:  -35.71776, Int:  -36.15021, Ext:   -0.43245, Eval loss:  -49.42443, Loss_change:  0.19610
Iter:  18, Energy:  -35.81108, Int:  -36.24403, Ext:   -0.43295, Eval loss:  -49.57095, Loss_change:  0.09332
Iter:  19, Energy:  -35.91288, Int:  -36.34628, Ext:   -0.43341, Eval loss:  -49.73253, Loss_change:  0.10179
Iter:  20, Energy:  -36.04463, Int:  -36.47834, Ext:   -0.43371, Eval loss:  -49.93342, Loss_change:  0.13176
Iter:  21, Energy:  -36.16579, Int:  -36.59978, Ext:   -0.43399, Eval loss:  -50.11153, Loss_change:  0.12115
Iter:  22, Energy:  -36.24257, Int:  -36.67693, Ext:   -0.43435, Eval loss:  -50.22400, Loss_change:  0.07679
Iter:  23, Energy:  -36.28958, Int:  -36.72430, Ext:   -0.43472, Eval loss:  -50.29995, Loss_change:  0.04701
Iter:  24, Energy:  -36.33189, Int:  -36.76699, Ext:   -0.43510, Eval loss:  -50.37249, Loss_change:  0.04231
Iter:  25, Energy:  -36.36800, Int:  -36.80339, Ext:   -0.43539, Eval loss:  -50.43834, Loss_change:  0.03611
Iter:  26, Energy:  -36.40003, Int:  -36.83563, Ext:   -0.43560, Eval loss:  -50.50027, Loss_change:  0.03203
Iter:  27, Energy:  -36.42714, Int:  -36.86288, Ext:   -0.43574, Eval loss:  -50.55475, Loss_change:  0.02711
Iter:  28, Energy:  -36.45158, Int:  -36.88742, Ext:   -0.43584, Eval loss:  -50.60786, Loss_change:  0.02443
Iter:  29, Energy:  -36.47534, Int:  -36.91125, Ext:   -0.43591, Eval loss:  -50.66125, Loss_change:  0.02377
Iter:  30, Energy:  -36.49436, Int:  -36.93032, Ext:   -0.43596, Eval loss:  -50.70675, Loss_change:  0.01902
Iter:  31, Energy:  -36.50880, Int:  -36.94479, Ext:   -0.43599, Eval loss:  -50.74379, Loss_change:  0.01443
Iter:  32, Energy:  -36.51983, Int:  -36.95585, Ext:   -0.43602, Eval loss:  -50.77455, Loss_change:  0.01103
Iter:  33, Energy:  -36.52856, Int:  -36.96461, Ext:   -0.43604, Eval loss:  -50.80020, Loss_change:  0.00874
Iter:  34, Energy:  -36.53640, Int:  -36.97247, Ext:   -0.43607, Eval loss:  -50.82421, Loss_change:  0.00783
Iter:  35, Energy:  -36.54359, Int:  -36.97969, Ext:   -0.43611, Eval loss:  -50.84634, Loss_change:  0.00719
Iter:  36, Energy:  -36.55085, Int:  -36.98700, Ext:   -0.43614, Eval loss:  -50.86811, Loss_change:  0.00727
