lrs, num_l
Iter:   0, Energy:  171.55008, Int:  179.16089, Ext:    7.61081, Eval loss:  170.60426, Loss_change: 171.55008
Iter:   1, Energy:  132.30345, Int:  139.32161, Ext:    7.01816, Eval loss:  130.62463, Loss_change: 39.24663
Iter:   2, Energy:  107.87720, Int:  114.50110, Ext:    6.62389, Eval loss:  106.79765, Loss_change: 24.42625
Iter:   3, Energy:   92.57096, Int:   98.93172, Ext:    6.36075, Eval loss:   91.68761, Loss_change: 15.30624
Iter:   4, Energy:   81.26552, Int:   87.42195, Ext:    6.15643, Eval loss:   80.46819, Loss_change: 11.30544
Iter:   5, Energy:   72.15066, Int:   78.13573, Ext:    5.98507, Eval loss:   71.39169, Loss_change:  9.11486
Iter:   6, Energy:   63.90901, Int:   69.73838, Ext:    5.82937, Eval loss:   63.09541, Loss_change:  8.24165
Iter:   7, Energy:   54.16811, Int:   59.82773, Ext:    5.65962, Eval loss:   53.25133, Loss_change:  9.74089
Iter:   8, Energy:   45.06348, Int:   50.56633, Ext:    5.50286, Eval loss:   44.24209, Loss_change:  9.10464
Iter:   9, Energy:   38.47515, Int:   43.85697, Ext:    5.38182, Eval loss:   37.73798, Loss_change:  6.58833
Iter:  10, Energy:   33.54475, Int:   38.82795, Ext:    5.28321, Eval loss:   32.84795, Loss_change:  4.93040
Iter:  11, Energy:   29.25445, Int:   34.44693, Ext:    5.19247, Eval loss:   28.54275, Loss_change:  4.29029
Iter:  12, Energy:   24.66402, Int:   29.76666, Ext:    5.10264, Eval loss:   23.95085, Loss_change:  4.59044
Iter:  13, Energy:   20.98988, Int:   26.03109, Ext:    5.04121, Eval loss:   20.33762, Loss_change:  3.67414
Iter:  14, Energy:   18.37644, Int:   23.37695, Ext:    5.00052, Eval loss:   17.75671, Loss_change:  2.61344
Iter:  15, Energy:   16.14241, Int:   21.10344, Ext:    4.96103, Eval loss:   15.50599, Loss_change:  2.23403
Iter:  16, Energy:   13.04815, Int:   17.93790, Ext:    4.88975, Eval loss:   12.37584, Loss_change:  3.09425
Iter:  17, Energy:   10.51009, Int:   15.32487, Ext:    4.81478, Eval loss:    9.87835, Loss_change:  2.53807
Iter:  18, Energy:    8.65109, Int:   13.38812, Ext:    4.73702, Eval loss:    8.02869, Loss_change:  1.85900
Iter:  19, Energy:    7.19237, Int:   11.83656, Ext:    4.64418, Eval loss:    6.57913, Loss_change:  1.45872
Iter:  20, Energy:    6.14810, Int:   10.70155, Ext:    4.55346, Eval loss:    5.54155, Loss_change:  1.04428
Iter:  21, Energy:    5.38159, Int:    9.85192, Ext:    4.47034, Eval loss:    4.77593, Loss_change:  0.76651
Iter:  22, Energy:    4.77708, Int:    9.16235, Ext:    4.38527, Eval loss:    4.16876, Loss_change:  0.60450
Iter:  23, Energy:    4.30872, Int:    8.60723, Ext:    4.29851, Eval loss:    3.69814, Loss_change:  0.46837
Iter:  24, Energy:    3.96039, Int:    8.18781, Ext:    4.22742, Eval loss:    3.34747, Loss_change:  0.34833
Iter:  25, Energy:    3.22640, Int:    7.38835, Ext:    4.16195, Eval loss:    2.56639, Loss_change:  0.73399
